name,nameHi,aliases,kcal,proteinG,fatG,carbG,fibreG,sodiumMg,addedSugarG,saturatedFatG,tags,suitableFor,allergens,costTier,source,sourceRef,measures
Parwal (cooked),परवल,parwal|parval|pointed gourd|potol|palwal,51,1.5,3.0,4.5,2.0,255,0,1.2,gi:low|meal:dinner|cuisine:east,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Karela (cooked),करेला,karela|bitter gourd|bitter melon|kaarela|pavakkai|hagalkai,70,1.6,3.5,8.0,2.8,260,0,1.4,gi:low|attr:high_fibre|meal:lunch,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Bhindi (cooked),भिंडी,bhindi|okra|lady finger|ladies finger|bhendi|vendakkai|bendakaya,72,2.0,3.5,8.0,3.5,260,0,1.4,gi:low|attr:high_fibre|meal:lunch,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Cauliflower (cooked),फूलगोभी,gobhi|gobi|cauliflower|phool gobhi|fulgobi|ful gobhi,55,2.0,3.0,5.0,2.5,255,0,1.2,gi:low|attr:high_fibre|meal:dinner,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Cabbage (cooked),पत्ता गोभी,cabbage|patta gobhi|band gobhi|pattagobi|kobi,50,1.4,2.5,5.5,2.2,250,0,1.0,gi:low|attr:high_fibre|meal:dinner,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Capsicum (cooked),शिमला मिर्च,capsicum|shimla mirch|bell pepper|green pepper|simla mirch,50,1.0,2.5,6.0,1.7,240,0,1.0,gi:low|attr:vitamin_c|meal:dinner,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Carrot (raw),गाजर,carrot|gajar|gaajar|carot,44,0.9,0.2,9.6,2.8,69,0,0.03,gi:low|attr:high_fibre|meal:snack,veg|eggetarian|non_veg|vegan,,low,manual,,piece=60*|katori=100
Beetroot (boiled),चुकंदर,beetroot|chukandar|beet|chukander,48,1.6,0.2,10.0,2.8,78,0,0.03,gi:medium|attr:high_fibre,veg|eggetarian|non_veg|vegan,,low,manual,,katori=100*
"Radish (mooli, raw)",मूली,mooli|radish|muli|daikon|white radish,17,0.7,0.1,3.4,1.6,39,0,0.02,gi:low|attr:hydrating,veg|eggetarian|non_veg|vegan,,low,manual,,katori=100*
Cucumber,खीरा,cucumber|kheera|khira|kakdi|cucumbar,18,0.6,0.1,3.6,0.5,2,0,0.01,gi:low|attr:hydrating|attr:low_fat|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,piece=120*|katori=100
"Spinach (palak, cooked)",पालक,palak|spinach|paalak|palakura|keerai|spinch,49,2.9,2.5,3.8,2.2,270,0,1.0,gi:low|attr:iron_rich|attr:high_fibre|meal:dinner,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Methi leaves (cooked),मेथी,methi|fenugreek leaves|methi saag|menthya|methi bhaji,64,4.4,2.5,6.0,3.0,280,0,1.0,gi:low|attr:iron_rich|attr:high_fibre|meal:dinner,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Sarson ka saag,सरसों का साग,sarson ka saag|sarson saag|mustard greens|saag,97,3.5,7.0,5.0,3.5,300,0,3.0,gi:low|attr:iron_rich|attr:high_fibre|meal:lunch|cuisine:north,veg|eggetarian|non_veg|jain,milk,low,manual,,katori=150*
Bathua (cooked),बथुआ,bathua|bathua saag|lambs quarters|chenopodium,57,3.7,2.5,5.0,2.8,275,0,1.0,gi:low|attr:iron_rich|attr:high_fibre|meal:dinner|cuisine:north,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Amaranth leaves (cooked),चौलाई,chaulai|amaranth leaves|lal saag|thotakura|harive,55,3.2,2.5,5.0,2.6,270,0,1.0,gi:low|attr:iron_rich|attr:calcium_rich|meal:dinner,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Drumstick (cooked),सहजन,drumstick|sahjan|moringa|munaga|murungakkai|saijan,44,2.1,0.2,8.5,3.2,42,0,0.05,gi:low|attr:high_fibre|meal:lunch|cuisine:south,veg|eggetarian|non_veg|vegan|jain,,low,manual,,piece=40*
"Pumpkin (kaddu, cooked)",कद्दू,kaddu|pumpkin|kaddoo|gummadikaya|kashiphal,52,1.0,2.5,6.5,1.5,250,0,1.0,gi:medium|meal:lunch,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Ash gourd (petha),पेठा,petha|ash gourd|winter melon|safed petha|kumbalanga,16,0.6,0.2,3.0,1.5,10,0,0.03,gi:low|attr:hydrating|attr:low_fat,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Cluster beans (gawar),ग्वार फली,gawar|guar|cluster beans|gavar|goru chikkudu|gwar,71,3.2,2.5,9.0,3.5,265,0,1.0,gi:low|attr:high_fibre|meal:lunch|cuisine:west,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
French beans (cooked),फ्रेंच बीन्स,french beans|beans|fansi|farasbi|green beans,58,1.8,2.5,7.0,3.0,255,0,1.0,gi:low|attr:high_fibre|meal:dinner,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Sweet potato (boiled),शकरकंद,shakarkandi|sweet potato|shakarkand|ratalu|genasu,87,1.6,0.1,20.0,3.0,55,0,0.03,gi:medium|attr:high_fibre,veg|eggetarian|non_veg|vegan,,low,manual,,piece=130*
"Arbi (colocasia, cooked)",अरबी,arbi|arvi|colocasia|taro|ghuiya|chembu,137,1.5,3.0,26.0,4.0,250,0,1.2,gi:medium|attr:high_fibre|meal:lunch,veg|eggetarian|non_veg|vegan,,low,manual,,katori=150*
"Yam (jimikand, cooked)",जिमीकंद,jimikand|suran|yam|elephant foot yam|zimikand|ol,124,1.5,2.5,24.0,4.1,250,0,1.0,gi:medium|attr:high_fibre|meal:lunch,veg|eggetarian|non_veg|vegan,,low,manual,,katori=150*
Mushroom (cooked),मशरूम,mushroom|khumbi|kukurmutta|mashroom|mushrom,51,3.1,2.5,4.0,1.5,250,0,1.0,gi:low|attr:low_fat|meal:dinner|cuisine:global,veg|eggetarian|non_veg|vegan,,medium,manual,,katori=150*
Broccoli (cooked),ब्रोकली,broccoli|brocoli|hari gobhi|brocolli,60,2.8,2.5,6.5,2.6,250,0,1.0,gi:low|attr:high_fibre|attr:vitamin_c|meal:dinner|cuisine:global,veg|eggetarian|non_veg|vegan|jain,,medium,manual,,katori=150*
Zucchini (cooked),ज़ुकीनी,zucchini|courgette|jucchini,41,1.2,2.5,3.5,1.1,245,0,1.0,gi:low|attr:low_fat|meal:dinner|cuisine:global,veg|eggetarian|non_veg|vegan|jain,,medium,manual,,katori=150*
Sweet corn (boiled),भुट्टा,sweet corn|bhutta|makai|corn|challi|mokkajonna|bhuta,103,3.4,1.5,19.0,2.4,15,0,0.2,gi:medium|attr:high_fibre|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,piece=100*|katori=120
"Turnip (shalgam, cooked)",शलजम,shalgam|turnip|shaljam,52,0.9,2.5,6.4,1.8,250,0,1.0,gi:low|attr:high_fibre|meal:dinner,veg|eggetarian|non_veg|vegan,,low,manual,,katori=150*
Ivy gourd (kundru),कुंदरू,kundru|ivy gourd|tindora|tendli|dondakaya|kovakkai,43,1.2,2.5,4.0,1.6,250,0,1.0,gi:low|meal:dinner,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Raw jackfruit (cooked),कच्चा कटहल,kathal|raw jackfruit|kacha kathal|echor|jackfruit,122,1.7,3.0,22.0,3.5,260,0,1.3,gi:medium|attr:high_fibre|meal:lunch|cuisine:east,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Spring onion,हरा प्याज़,spring onion|hara pyaz|green onion|scallion,38,1.8,0.2,7.3,2.6,16,0,0.03,gi:low|attr:high_fibre,veg|eggetarian|non_veg|vegan,,low,manual,,katori=100*
Mixed veg sabzi,मिक्स वेज,mixed veg|mix veg|mixed vegetable|sabzi|vegetable curry|sabji,91,2.5,5.0,9.0,3.0,310,0,2.0,gi:low|attr:high_fibre|meal:lunch|cuisine:north,veg|eggetarian|non_veg|vegan,,low,manual,,katori=150*
Baingan bharta,बैंगन भर्ता,baingan bharta|bharta|eggplant bharta|baigan bharta,102,1.8,7.0,8.0,3.2,320,0,2.8,gi:low|attr:high_fibre|meal:dinner|cuisine:north,veg|eggetarian|non_veg|vegan,,low,manual,,katori=150*
Aloo gobhi,आलू गोभी,aloo gobhi|aloo gobi|potato cauliflower|alu gobi,107,2.2,6.0,11.0,2.8,320,0,2.4,gi:medium|meal:lunch|cuisine:north,veg|eggetarian|non_veg|vegan,,low,manual,,katori=150*
Bhindi masala,भिंडी मसाला,bhindi masala|okra masala|bhindi ki sabzi|bhindi fry,108,2.2,7.0,9.0,3.4,320,0,2.8,gi:low|attr:high_fibre|meal:lunch|cuisine:north,veg|eggetarian|non_veg|vegan,,low,manual,,katori=150*
Palak paneer,पालक पनीर,palak paneer|saag paneer|spinach paneer|palak panner,164,8.0,12.0,6.0,2.4,360,0,6.5,gi:low|attr:high_protein|attr:iron_rich|meal:dinner|cuisine:north,veg|eggetarian|non_veg|jain,milk|tree_nut,medium,manual,,katori=150*
Matar paneer,मटर पनीर,matar paneer|mutter paneer|peas paneer|matar panner,178,8.5,12.0,9.0,2.6,370,0,6.5,gi:low|attr:high_protein|meal:dinner|cuisine:north,veg|eggetarian|non_veg,milk|tree_nut,medium,manual,,katori=150*
Kadhi,कढ़ी,kadhi|kadi|karhi|kadhi pakora|besan kadhi,115,4.0,7.0,9.0,1.2,340,0,3.0,gi:low|meal:lunch|cuisine:north,veg|eggetarian|non_veg|jain,milk,low,manual,,katori=150*
Veg kofta curry,वेज कोफ्ता,kofta|malai kofta|veg kofta|koftha,202,5.0,14.0,14.0,2.5,360,0,6.0,gi:medium|attr:high_fat|attr:fried|meal:dinner|cuisine:north,veg|eggetarian|non_veg,milk|tree_nut,medium,manual,,katori=150*
Apple,सेब,apple|seb|safarchand|appel,59,0.3,0.2,14.0,2.4,1,0,0.03,gi:low|attr:high_fibre|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,piece=180*
Banana,केला,banana|kela|arati|vazhaipazham|banan,99,1.1,0.3,23.0,2.6,1,0,0.1,gi:medium|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,piece=120*
Mango,आम,mango|aam|mamidi|manga,67,0.8,0.4,15.0,1.6,1,0,0.1,gi:medium|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,piece=200*
Papaya,पपीता,papaya|papita|papeeta|boppayi|papya,49,0.5,0.3,11.0,1.7,8,0,0.1,gi:medium|attr:high_fibre|attr:hydrating|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Guava,अमरूद,guava|amrud|amrood|peru|jaam|koyya,74,2.6,0.9,14.0,5.4,2,0,0.3,gi:low|attr:high_fibre|attr:vitamin_c|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,piece=100*
Orange,संतरा,orange|santra|santara|narangi|kamala,52,0.9,0.1,12.0,2.4,0,0,0.02,gi:low|attr:vitamin_c|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,piece=130*
Sweet lime (mosambi),मौसंबी,mosambi|musambi|sweet lime|mausambi|batavi nimbu,42,0.8,0.2,9.3,2.0,1,0,0.03,gi:low|attr:vitamin_c|attr:hydrating|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,piece=150*
Grapes,अंगूर,grapes|angoor|angur|draksha|grape,77,0.7,0.2,18.0,0.9,2,0,0.05,gi:medium|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=100*
Pomegranate,अनार,pomegranate|anar|anaar|dalimb|danimma,94,1.7,1.2,19.0,4.0,3,0,0.1,gi:low|attr:high_fibre|meal:snack,veg|eggetarian|non_veg|vegan|jain,,medium,manual,,katori=100*
Watermelon,तरबूज,watermelon|tarbooz|tarbuj|kalingad|puchakaya|tarbuz,35,0.6,0.2,7.6,0.4,1,0,0.02,gi:medium|attr:hydrating|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Muskmelon,खरबूजा,muskmelon|kharbooja|kharbuja|cantaloupe|melon,38,0.8,0.2,8.2,0.9,16,0,0.05,gi:medium|attr:hydrating|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Pear,नाशपाती,pear|nashpati|naspati|babbugosha,62,0.4,0.1,15.0,3.1,1,0,0.02,gi:low|attr:high_fibre|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,piece=170*
Pineapple,अनानास,pineapple|ananas|anannas|pine apple,55,0.5,0.1,13.0,1.4,1,0,0.02,gi:medium|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=150*
Chikoo (sapota),चीकू,chikoo|chiku|sapota|sapodilla|chikku,92,0.4,1.1,20.0,5.3,12,0,0.2,gi:medium|attr:high_fibre|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,piece=90*
Custard apple,सीताफल,custard apple|sitaphal|sharifa|seetaphal|sita phal,110,2.1,0.6,24.0,2.4,4,0,0.1,gi:medium|meal:snack,veg|eggetarian|non_veg|vegan|jain,,medium,manual,,piece=150*
Litchi,लीची,litchi|lychee|lichi|leechi,75,0.8,0.4,17.0,1.3,1,0,0.1,gi:medium|attr:vitamin_c|meal:snack,veg|eggetarian|non_veg|vegan|jain,,medium,manual,,piece=15*|katori=100
Jamun,जामुन,jamun|java plum|black plum|jambul|neredu,65,0.7,0.2,15.0,0.6,14,0,0.05,gi:low|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=100*
Ber (Indian jujube),बेर,ber|indian jujube|bor|regi pandu,87,1.2,0.2,20.0,1.4,3,0,0.04,gi:medium|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=100*
Strawberry,स्ट्रॉबेरी,strawberry|strawbery|stroberry,36,0.7,0.3,7.7,2.0,1,0,0.02,gi:low|attr:vitamin_c|meal:snack|cuisine:global,veg|eggetarian|non_veg|vegan|jain,,premium,manual,,katori=100*
Kiwi,कीवी,kiwi|kiwi fruit|keewi,69,1.1,0.5,15.0,3.0,3,0,0.03,gi:low|attr:high_fibre|attr:vitamin_c|meal:snack|cuisine:global,veg|eggetarian|non_veg|vegan|jain,,premium,manual,,piece=75*
Dates (dry),खजूर,dates|khajur|khajoor|chhuara|dry dates|kharek,314,2.5,0.4,75.0,8.0,2,0,0.03,gi:high|attr:high_fibre|attr:iron_rich|meal:snack,veg|eggetarian|non_veg|vegan|jain,,medium,manual,,piece=8*|katori=60
Raisins,किशमिश,raisins|kishmish|kismis|sultana|dry grapes,333,3.1,0.5,79.0,3.7,11,0,0.06,gi:high|attr:iron_rich|meal:snack,veg|eggetarian|non_veg|vegan|jain,,medium,manual,,tbsp=10*
Dry figs (anjeer),अंजीर,anjeer|figs|dry figs|anjir|fig,277,3.3,0.9,64.0,9.8,10,0,0.1,gi:medium|attr:high_fibre|attr:calcium_rich|meal:snack,veg|eggetarian|non_veg|vegan|jain,,premium,manual,,piece=8*
Amla,आंवला,amla|indian gooseberry|awla|nellikai|usiri,55,0.5,0.1,13.0,3.4,1,0,0.01,gi:low|attr:vitamin_c|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,piece=40*
Fresh coconut,नारियल,coconut|nariyal|fresh coconut|thengai|kobbari|nariyal gola,370,3.3,33.0,15.0,9.0,20,0,29.0,gi:low|attr:high_fat|attr:high_fibre,veg|eggetarian|non_veg|vegan|jain,tree_nut,low,manual,,katori=80*
Dry coconut (copra),सूखा नारियल,dry coconut|copra|sukha nariyal|khopra,686,6.9,62.0,25.0,16.0,37,0,54.0,gi:low|attr:high_fat|attr:high_fibre,veg|eggetarian|non_veg|vegan|jain,tree_nut,medium,manual,,tbsp=10*
Avocado,एवोकाडो,avocado|butter fruit|avacado|makhanphal,177,2.0,15.0,8.5,6.7,7,0,2.1,gi:low|attr:high_fat|attr:high_fibre|cuisine:global,veg|eggetarian|non_veg|vegan|jain,,premium,manual,,piece=150*
Plum,आलूबुखारा,plum|aloo bukhara|alubukhara,50,0.7,0.3,11.0,1.4,0,0,0.02,gi:low|meal:snack,veg|eggetarian|non_veg|vegan|jain,,medium,manual,,piece=65*
Peach,आड़ू,peach|aadu|aaru|adoo,46,0.9,0.3,10.0,1.5,0,0,0.02,gi:low|meal:snack,veg|eggetarian|non_veg|vegan|jain,,medium,manual,,piece=150*
Dry apricot,सूखी खुबानी,apricot|khubani|dry apricot|khumani|jardalu,270,3.4,0.5,63.0,7.3,10,0,0.03,gi:medium|attr:high_fibre|attr:iron_rich|meal:snack,veg|eggetarian|non_veg|vegan|jain,,premium,manual,,piece=8*
Cherries,चेरी,cherries|cherry|gilas,71,1.1,0.3,16.0,2.1,0,0,0.05,gi:low|meal:snack,veg|eggetarian|non_veg|vegan|jain,,premium,manual,,katori=100*
Raw banana (plantain),कच्चा केला,raw banana|kacha kela|plantain|vazhakkai|aratikaya,132,1.3,0.3,31.0,2.3,4,0,0.1,gi:medium|attr:high_fibre|meal:lunch|cuisine:south,veg|eggetarian|non_veg|vegan|jain,,low,manual,,piece=120*
"Egg (whole, boiled)",उबला अंडा,egg|anda|boiled egg|ande|ubla anda|whole egg|muttai|kodi guddu,177,13.3,13.3,1.1,0,140,0,4.1,gi:low|attr:high_protein|meal:breakfast,eggetarian|non_veg,egg,low,manual,,piece=50*
Egg white (boiled),अंडे का सफेद भाग,egg white|anda safedi|ande ka safed|albumen,49,11.0,0.2,0.7,0,166,0,0.1,gi:low|attr:high_protein|attr:low_fat|meal:breakfast,eggetarian|non_veg,egg,low,manual,,piece=33*
Egg yolk,अंडे की जर्दी,egg yolk|yolk|ande ki jardi|anda jardi,321,16.0,27.0,3.6,0,48,0,9.6,gi:low|attr:high_fat|attr:iron_rich,eggetarian|non_veg,egg,low,manual,,piece=17*
Omelette (plain),ऑमलेट,omelette|omlet|omelet|anda omelette|amlet,202,13.0,16.0,1.5,0,320,0,5.0,gi:low|attr:high_protein|meal:breakfast,eggetarian|non_veg,egg|milk,low,manual,,piece=110*
Egg bhurji,अंडा भुर्जी,egg bhurji|anda bhurji|scrambled egg|bhurji,173,11.0,13.0,3.0,0.6,340,0,4.2,gi:low|attr:high_protein|meal:breakfast|cuisine:north,eggetarian|non_veg,egg,low,manual,,katori=120*
Egg curry,अंडा करी,egg curry|anda curry|ande ki sabzi|muttai kuzhambu,173,9.0,13.0,5.0,1.0,360,0,4.5,gi:low|attr:high_protein|meal:dinner|cuisine:north,eggetarian|non_veg,egg,low,manual,,katori=150*
"Chicken breast (cooked, skinless)",चिकन ब्रेस्ट,chicken breast|chicken|murgh|grilled chicken|boneless chicken|chiken,156,31.0,3.6,0,0,74,0,1.0,gi:low|attr:high_protein|attr:low_fat|meal:lunch,non_veg,,medium,manual,,serving=100*
Chicken thigh (cooked),चिकन जांघ,chicken thigh|chicken leg|murgh leg|chicken drumstick,203,26.0,11.0,0,0,88,0,3.1,gi:low|attr:high_protein|meal:lunch,non_veg,,medium,manual,,piece=90*
Chicken curry,चिकन करी,chicken curry|murgh curry|chicken masala|chicken salan|kozhi curry,180,14.0,12.0,4.0,0.8,380,0,4.0,gi:low|attr:high_protein|meal:lunch|cuisine:north,non_veg,,medium,manual,,katori=150*
Tandoori chicken,तंदूरी चिकन,tandoori chicken|tandoori murgh|tanduri chicken,206,27.0,10.0,2.0,0.3,340,0,3.5,gi:low|attr:high_protein|meal:dinner|cuisine:north,non_veg,milk,medium,manual,,piece=120*
Chicken tikka,चिकन टिक्का,chicken tikka|murgh tikka|tikka,197,26.0,9.0,3.0,0.3,360,0,3.2,gi:low|attr:high_protein|meal:snack|cuisine:north,non_veg,milk,medium,manual,,piece=30*
Chicken keema,चिकन कीमा,chicken keema|chicken kheema|minced chicken|chicken mince,210,18.0,14.0,3.0,0.7,360,0,4.5,gi:low|attr:high_protein|meal:lunch|cuisine:north,non_veg,,medium,manual,,katori=120*
Chicken soup,चिकन सूप,chicken soup|murgh shorba|chicken shorba|chicken broth,42,4.0,1.5,3.0,0.3,420,0,0.5,gi:low|attr:low_fat|attr:high_sodium|meal:dinner,non_veg,,low,manual,,bowl=200*
Chicken sausage,चिकन सॉसेज,chicken sausage|sausage|chicken sausages,234,14.0,18.0,4.0,0,900,1.0,6.0,gi:low|attr:high_fat|attr:high_sodium|meal:breakfast|cuisine:global,non_veg,soy,medium,manual,,piece=40*
Mutton curry,मटन करी,mutton curry|mutton|goat curry|gosht|mutton masala|lamb curry|bakra,230,14.0,18.0,3.0,0.6,380,0,7.0,gi:low|attr:high_protein|attr:high_fat|meal:lunch|cuisine:north,non_veg,,premium,manual,,katori=150*
Mutton keema,मटन कीमा,mutton keema|keema|kheema|minced mutton|goat mince,224,18.0,16.0,2.0,0.4,370,0,6.5,gi:low|attr:high_protein|attr:high_fat|meal:lunch|cuisine:north,non_veg,,premium,manual,,katori=120*
Mutton biryani,मटन बिरयानी,mutton biryani|gosht biryani|mutton biriyani|lamb biryani,231,9.0,11.0,24.0,1.2,400,0,4.5,gi:high|attr:high_protein|meal:lunch|cuisine:north,non_veg,milk,premium,manual,,plate=300*
Goat liver (cooked),कलेजी,liver|kaleji|kalezi|goat liver|mutton liver,120,20.0,3.5,2.0,0,80,0,1.2,gi:low|attr:high_protein|attr:iron_rich|meal:lunch,non_veg,,medium,manual,,serving=100*
Rohu fish (cooked),रोहू मछली,rohu|rui|rohu fish|carp|rui mach|fish,116,19.0,4.5,0,0,70,0,1.2,gi:low|attr:high_protein|meal:lunch|cuisine:east,non_veg,fish,medium,manual,,piece=100*
Pomfret (cooked),पॉम्फ्रेट,pomfret|paplet|pamplet|white pomfret|saranga,116,20.0,4.0,0,0,90,0,1.3,gi:low|attr:high_protein|meal:lunch|cuisine:west,non_veg,fish,premium,manual,,piece=100*
Surmai / kingfish (cooked),सुरमई,surmai|kingfish|seer fish|vanjaram|anjal,111,21.0,3.0,0,0,85,0,0.9,gi:low|attr:high_protein|attr:omega3|meal:lunch|cuisine:west,non_veg,fish,premium,manual,,piece=100*
Hilsa (cooked),हिल्सा,hilsa|ilish|hilsa fish|palla fish,243,18.0,19.0,0,0,80,0,5.0,gi:low|attr:high_protein|attr:omega3|attr:high_fat|meal:lunch|cuisine:east,non_veg,fish,premium,manual,,piece=100*
Sardine (cooked),सार्डिन,sardine|sardines|mathi|tarli|pedvey,179,20.0,11.0,0,0,110,0,3.0,gi:low|attr:high_protein|attr:omega3|attr:calcium_rich|meal:lunch,non_veg,fish,medium,manual,,piece=80*
Tuna (canned in water),टूना,tuna|canned tuna|tuna fish,113,26.0,1.0,0,0,320,0,0.3,gi:low|attr:high_protein|attr:low_fat|meal:lunch|cuisine:global,non_veg,fish,premium,manual,,can=100*
Prawns (cooked),झींगा,prawns|jhinga|shrimp|chingri|prawn|royyalu,110,24.0,1.5,0,0,290,0,0.4,gi:low|attr:high_protein|attr:low_fat|meal:lunch,non_veg,shellfish,premium,manual,,serving=100*
Crab (cooked),केकड़ा,crab|kekda|kekra|nandu,86,18.0,1.5,0,0,320,0,0.3,gi:low|attr:high_protein|attr:low_fat|meal:lunch,non_veg,shellfish,premium,manual,,serving=100*
Fish curry,मछली करी,fish curry|machli curry|macher jhol|meen curry|fish masala|machhli,140,13.0,8.0,4.0,0.8,380,0,2.5,gi:low|attr:high_protein|meal:lunch|cuisine:south,non_veg,fish,medium,manual,,katori=150*
Fish fry,फिश फ्राई,fish fry|fried fish|machli fry|meen varuval,230,20.0,14.0,6.0,0.4,400,0,3.5,gi:low|attr:high_protein|attr:fried|meal:lunch|cuisine:east,non_veg,fish|wheat_gluten,medium,manual,,piece=90*
Chicken momos,चिकन मोमोज़,chicken momos|chicken momo|chicken dumpling|momos chicken,202,9.0,6.0,28.0,1.4,420,0,2.0,gi:high|attr:high_sodium|meal:snack|cuisine:east,non_veg,wheat_gluten|soy,low,manual,,piece=30*
Almond,बादाम,almond|badam|badaam|almonds,622,21.0,50.0,22.0,12.5,1,0,3.8,gi:low|attr:high_fat|attr:high_protein|attr:high_fibre|meal:snack,veg|eggetarian|non_veg|vegan|jain,tree_nut,premium,manual,,piece=1.2|katori=30*
Cashew,काजू,cashew|kaju|cashewnut|cashew nut|kaaju,588,18.0,44.0,30.0,3.3,12,0,7.8,gi:low|attr:high_fat|attr:high_protein|meal:snack,veg|eggetarian|non_veg|vegan|jain,tree_nut,premium,manual,,katori=30*
Walnut,अखरोट,walnut|akhrot|akhroat|walnuts,701,15.0,65.0,14.0,6.7,2,0,6.1,gi:low|attr:high_fat|attr:omega3|meal:snack,veg|eggetarian|non_veg|vegan|jain,tree_nut,premium,manual,,piece=5|katori=30*
Pistachio,पिस्ता,pistachio|pista|pistachios|pistta,597,20.0,45.0,28.0,10.3,12,0,5.9,gi:low|attr:high_fat|attr:high_protein|attr:high_fibre|meal:snack,veg|eggetarian|non_veg|vegan|jain,tree_nut,premium,manual,,katori=30*
Peanut (roasted),मूंगफली,peanut|moongphali|mungfali|groundnut|singdana|shengdana|mungphali,605,25.0,49.0,16.0,8.5,18,0,6.8,gi:low|attr:high_fat|attr:high_protein|meal:snack,veg|eggetarian|non_veg|vegan|jain,peanut,low,manual,,katori=30*
Peanut butter,पीनट बटर,peanut butter|moongphali butter|penut butter,630,25.0,50.0,20.0,6.0,420,4.0,10.0,gi:low|attr:high_fat|attr:high_protein|meal:breakfast|cuisine:global,veg|eggetarian|non_veg|vegan|jain,peanut,medium,manual,,tbsp=16*
Sunflower seeds,सूरजमुखी बीज,sunflower seeds|surajmukhi beej|sunflower seed,623,21.0,51.0,20.0,8.6,9,0,4.5,gi:low|attr:high_fat|attr:high_protein|meal:snack,veg|eggetarian|non_veg|vegan|jain,,medium,manual,,tbsp=10*
Pumpkin seeds,कद्दू के बीज,pumpkin seeds|kaddu ke beej|pepitas|magaz,605,30.0,49.0,11.0,6.0,7,0,8.7,gi:low|attr:high_protein|attr:high_fat|attr:iron_rich|meal:snack,veg|eggetarian|non_veg|vegan|jain,,medium,manual,,tbsp=10*
Flax seeds,अलसी,flax seeds|alsi|flaxseed|linseed|javas,566,18.0,42.0,29.0,27.0,30,0,3.7,gi:low|attr:omega3|attr:high_fibre|attr:high_fat,veg|eggetarian|non_veg|vegan|jain,,low,manual,,tbsp=10*
Chia seeds,चिया बीज,chia seeds|chia|chiya seeds,515,17.0,31.0,42.0,34.0,16,0,3.3,gi:low|attr:omega3|attr:high_fibre|attr:calcium_rich|cuisine:global,veg|eggetarian|non_veg|vegan|jain,,premium,manual,,tbsp=12*
Sesame seeds (til),तिल,til|sesame|sesame seeds|gingelly|ellu|tilli,614,18.0,50.0,23.0,11.8,11,0,7.0,gi:low|attr:calcium_rich|attr:high_fat|attr:iron_rich,veg|eggetarian|non_veg|vegan|jain,sesame,low,manual,,tbsp=9*
Makhana (fox nut),मखाना,makhana|makhane|fox nut|lotus seeds|phool makhana,344,9.7,0.1,76.0,14.5,20,0,0.03,gi:medium|attr:high_fibre|attr:low_fat|meal:snack|cuisine:east,veg|eggetarian|non_veg|vegan|jain,,medium,manual,,katori=20*
Coconut oil,नारियल तेल,coconut oil|nariyal tel|copra oil,900,0,100.0,0,0,0,0,87.0,gi:low|attr:high_fat,veg|eggetarian|non_veg|vegan|jain,,medium,manual,,tsp=5*|tbsp=14
Mustard oil,सरसों तेल,mustard oil|sarson ka tel|sarso tel|kachi ghani,900,0,100.0,0,0,0,0,12.0,gi:low|attr:high_fat,veg|eggetarian|non_veg|vegan|jain,mustard,low,manual,,tsp=5*|tbsp=14
